               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067787,             0.27355,                   0,             0.61203,             0.67896,             0.55684,             0.18381,            0.058788,              0.1551,                   0,              0.0019,              0.0019,              0.0829
                   1,            0.058016,             0.17646,                   0,             0.66845,             0.77007,             0.65557,              0.2214,            0.054433,             0.14079,                   0,           0.0038923,           0.0038923,            0.064892
                   2,            0.056129,              0.1764,                   0,             0.69951,             0.78308,             0.70473,             0.24858,            0.054248,             0.12657,                   0,           0.0058766,           0.0058766,            0.046877
                   3,            0.051743,             0.16366,                   0,             0.71252,             0.72668,             0.66109,             0.21669,            0.055681,             0.13439,                   0,           0.0078531,           0.0078531,            0.028853
                   4,            0.051607,             0.18013,                   0,             0.71926,             0.81695,             0.75172,             0.27932,            0.051312,             0.13986,                   0,           0.0098216,           0.0098216,            0.010822
                   5,            0.051659,             0.16428,                   0,             0.76907,             0.83076,             0.79943,             0.30925,            0.046498,             0.12355,                   0,            0.009901,            0.009901,            0.009901
                   6,            0.049448,             0.16296,                   0,             0.78678,             0.76043,             0.76151,             0.26984,            0.048316,             0.12226,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.047429,             0.15192,                   0,             0.73133,             0.79393,             0.72342,             0.25024,            0.049038,             0.11832,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.049748,             0.15482,                   0,             0.81622,             0.81996,             0.85156,             0.32082,            0.046738,             0.10788,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.047756,              0.1462,                   0,              0.8071,             0.81779,             0.83496,             0.30818,            0.049832,             0.11513,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.047798,             0.15486,                   0,             0.79755,              0.8243,             0.82097,             0.29122,            0.051849,             0.11324,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.047767,             0.15728,                   0,             0.80694,             0.80911,             0.80771,             0.28466,            0.052222,             0.10752,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.046601,             0.15261,                   0,             0.79295,             0.83948,             0.84784,             0.31767,            0.045744,             0.10667,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.045321,             0.14437,                   0,              0.8307,             0.84082,             0.88001,             0.36154,            0.047115,             0.10641,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.044996,             0.15078,                   0,             0.80239,             0.86768,             0.87785,              0.3693,            0.045601,             0.10875,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.046015,             0.14143,                   0,             0.79782,             0.83948,             0.85099,             0.34845,            0.044598,              0.1075,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.046096,             0.14962,                   0,             0.71983,             0.77007,             0.70517,             0.23234,            0.049985,             0.10956,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.046075,             0.14715,                   0,             0.75473,             0.81562,                0.76,              0.2676,             0.04858,             0.11107,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.044227,             0.14025,                   0,             0.81118,             0.84802,             0.86166,             0.34867,            0.043473,             0.10612,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.045043,               0.143,                   0,             0.75752,             0.80694,             0.76826,             0.26098,            0.047538,             0.11064,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.044105,             0.14726,                   0,              0.7801,             0.80031,             0.77084,              0.2678,            0.049549,             0.10814,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.044579,             0.14753,                   0,             0.74965,             0.78959,              0.7125,             0.24022,            0.051816,             0.10719,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.044668,             0.14623,                   0,             0.80271,             0.80477,             0.78329,              0.2897,            0.045449,             0.10717,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.043568,             0.13908,                   0,             0.78124,              0.8134,               0.793,             0.28773,            0.046678,             0.10673,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.042865,             0.14544,                   0,             0.84925,             0.81779,             0.85979,             0.34139,            0.045298,             0.10711,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.043292,             0.14333,                   0,             0.69278,             0.74351,             0.65188,             0.20533,            0.051246,             0.11207,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.042854,             0.13912,                   0,             0.84704,             0.86768,             0.88591,              0.3872,            0.041849,             0.10917,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.043292,             0.14524,                   0,              0.7191,             0.77189,             0.67882,             0.23214,            0.049315,             0.11506,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.042961,              0.1318,                   0,             0.75597,             0.75488,             0.71932,             0.24235,            0.046576,             0.11245,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.042935,             0.14406,                   0,             0.83951,             0.85249,             0.87609,             0.37612,            0.043185,             0.10686,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.042275,             0.13189,                   0,              0.8424,               0.859,             0.88464,             0.39221,             0.04048,             0.10733,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.042796,             0.14093,                   0,             0.78838,             0.82428,             0.79116,             0.29873,            0.050424,             0.10747,                   0,            0.009406,            0.009406,            0.009406
                  32,            0.042462,             0.14023,                   0,             0.83019,             0.86334,             0.86507,             0.35225,            0.043335,             0.10786,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,             0.04216,             0.14362,                   0,             0.79728,             0.85466,             0.82766,             0.32767,            0.045772,             0.10812,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,            0.041646,             0.14467,                   0,              0.8373,             0.82646,             0.84987,             0.33524,            0.045052,             0.11207,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.041493,             0.13671,                   0,              0.8291,             0.83297,             0.83065,             0.31392,            0.045472,             0.11038,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,            0.041927,             0.14007,                   0,             0.74447,             0.75205,             0.71367,             0.23405,            0.050841,             0.11015,                   0,            0.009307,            0.009307,            0.009307
                  37,             0.04198,             0.13903,                   0,             0.84472,             0.81562,             0.83457,             0.31717,            0.044291,             0.10964,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.042425,             0.12899,                   0,             0.79144,             0.84788,             0.82187,             0.31075,             0.04765,             0.10857,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.041373,             0.13289,                   0,             0.79006,             0.86551,             0.84421,             0.34315,            0.043156,             0.10862,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.040986,             0.13859,                   0,             0.81085,             0.83731,             0.83138,             0.34106,            0.046476,             0.10605,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.041565,             0.12954,                   0,             0.74396,             0.80675,             0.75635,              0.2815,            0.046531,             0.10874,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.040455,             0.13281,                   0,              0.7944,             0.86551,              0.8205,             0.32533,            0.044844,             0.10906,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.041484,             0.13638,                   0,             0.75607,             0.79393,             0.74452,             0.28777,            0.047126,             0.10951,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.040542,             0.13574,                   0,             0.78465,             0.84599,             0.79856,             0.32208,            0.042741,             0.11262,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.041288,             0.13782,                   0,             0.80586,              0.8194,             0.80928,             0.32971,            0.043568,             0.11038,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,              0.0421,             0.14216,                   0,              0.7578,             0.82863,             0.77223,             0.28974,            0.049194,             0.10973,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.042298,             0.14208,                   0,             0.80349,             0.87852,             0.85446,             0.35386,            0.042285,             0.11099,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.041084,             0.13459,                   0,             0.81837,             0.81124,             0.80602,             0.31677,            0.044255,             0.11013,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.040588,              0.1349,                   0,             0.80523,             0.79826,             0.80599,             0.32031,            0.043343,             0.10874,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.039604,              0.1344,                   0,             0.78697,              0.8414,             0.82631,             0.34804,            0.042107,             0.10889,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.039283,             0.13055,                   0,              0.7804,             0.83297,             0.79846,              0.3048,            0.047205,             0.10931,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.040569,             0.13308,                   0,             0.80718,             0.86551,              0.8447,             0.34517,            0.040819,             0.10784,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.040439,             0.13477,                   0,             0.80156,             0.88497,             0.83685,             0.33947,            0.043426,             0.11037,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.040768,             0.13809,                   0,             0.80584,              0.8913,             0.83636,              0.3513,            0.041053,             0.10785,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.039505,             0.13806,                   0,              0.7879,             0.88937,             0.82187,              0.3396,            0.040788,             0.11276,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.039841,             0.13283,                   0,             0.76292,             0.85249,             0.79174,             0.30689,            0.044593,             0.11146,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.039246,             0.13142,                   0,             0.82352,             0.91106,             0.88381,             0.40444,            0.039297,             0.10589,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.040297,             0.12759,                   0,             0.78708,             0.82646,              0.8072,             0.31448,            0.044285,             0.11146,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.040068,             0.13371,                   0,             0.81964,             0.82808,             0.82668,             0.33251,            0.043151,              0.1094,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.039468,             0.13236,                   0,             0.80985,             0.86985,             0.84333,             0.34428,            0.041347,             0.10897,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.038822,             0.12523,                   0,             0.82177,             0.84165,             0.84588,             0.34621,            0.040613,             0.11068,                   0,            0.008812,            0.008812,            0.008812
                  62,             0.04082,             0.13604,                   0,             0.83991,             0.83297,             0.85039,             0.34193,            0.042605,             0.10893,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.038986,             0.13242,                   0,             0.84415,              0.8812,             0.87386,             0.40109,            0.039529,             0.10754,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.039525,              0.1281,                   0,              0.8079,              0.8872,             0.83815,             0.35251,            0.039615,             0.11091,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.039981,             0.13506,                   0,             0.82398,             0.86334,             0.84063,             0.35568,            0.040513,             0.11011,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.039943,             0.13988,                   0,             0.83973,             0.84382,             0.85089,             0.36263,            0.040935,             0.10726,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.039308,             0.13698,                   0,             0.80705,             0.82646,             0.80415,             0.31731,            0.045877,             0.10866,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.038291,             0.13366,                   0,             0.81853,             0.86117,              0.8413,             0.33287,            0.044434,             0.10786,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.038691,             0.13449,                   0,              0.8498,             0.87202,              0.8719,             0.38147,            0.040098,             0.10932,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.039608,             0.12853,                   0,             0.81382,             0.87419,             0.85457,              0.3536,            0.040407,             0.10784,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.038556,             0.13783,                   0,             0.82723,             0.86334,             0.85669,             0.35358,            0.043359,             0.10918,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.039563,             0.12878,                   0,             0.84552,             0.85683,             0.86337,             0.37154,            0.041188,             0.10926,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,              0.0384,             0.13727,                   0,             0.83684,             0.86985,             0.85986,             0.35536,            0.042884,             0.10858,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.039067,              0.1294,                   0,             0.81234,             0.84599,             0.81419,              0.3118,            0.045707,             0.11113,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.038137,             0.12632,                   0,             0.80978,               0.859,             0.83622,             0.34207,            0.044739,             0.11171,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.038181,             0.13184,                   0,             0.85197,             0.87392,             0.86801,             0.41393,            0.037508,             0.11012,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.038885,             0.13322,                   0,             0.80658,             0.85028,             0.82433,             0.33753,            0.041368,             0.10981,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.038557,             0.12172,                   0,             0.77435,              0.7744,             0.75179,             0.28417,            0.045162,             0.11223,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.039322,             0.12945,                   0,              0.8221,             0.82198,             0.81516,             0.33857,            0.042018,             0.11016,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.038008,              0.1323,                   0,             0.83105,             0.87636,             0.87696,             0.39043,            0.040047,             0.11027,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.037928,             0.12388,                   0,             0.82872,             0.85015,             0.84247,             0.33331,            0.044132,             0.10995,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.038937,             0.13214,                   0,             0.83295,             0.87608,             0.86687,             0.36597,            0.039366,             0.10953,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.038025,             0.13186,                   0,             0.79839,             0.87617,             0.83109,             0.31832,            0.044758,              0.1126,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.037114,             0.13324,                   0,             0.80266,             0.90889,             0.85816,              0.3881,            0.039648,             0.11254,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.038091,             0.13568,                   0,             0.79602,             0.88937,             0.84726,             0.35626,            0.041541,             0.11082,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.038208,             0.13109,                   0,             0.80794,              0.8243,             0.80959,             0.31107,            0.045156,             0.11473,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.037991,             0.12552,                   0,             0.83284,             0.86551,             0.85861,             0.37464,            0.039249,             0.11221,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.038066,             0.12697,                   0,             0.83551,             0.80434,             0.82241,             0.32045,            0.042418,             0.11306,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.038949,             0.12952,                   0,             0.81515,             0.88069,             0.85594,              0.3687,            0.040082,             0.11045,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.037726,             0.12514,                   0,             0.82632,             0.85683,             0.84875,             0.35794,            0.042369,             0.11183,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.037586,             0.12734,                   0,              0.8283,             0.83948,             0.83553,             0.35203,            0.040346,             0.11255,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.036864,             0.12672,                   0,              0.8199,             0.83938,             0.81732,             0.33791,            0.041437,             0.11567,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.037155,             0.12124,                   0,             0.80196,             0.87852,             0.83949,             0.36588,            0.041884,             0.11157,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.036217,             0.11681,                   0,             0.80381,             0.81763,             0.81657,             0.31286,            0.045009,             0.11325,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.039217,             0.13178,                   0,             0.79087,             0.83731,             0.80434,             0.32718,            0.044533,              0.1121,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,             0.03687,             0.12529,                   0,             0.79563,             0.84599,             0.81764,             0.31862,            0.043437,             0.11229,                   0,            0.008119,            0.008119,            0.008119
                  97,             0.03785,             0.12911,                   0,             0.84841,             0.86551,             0.87038,             0.39437,            0.039483,             0.10999,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.037803,             0.13145,                   0,             0.81553,             0.79595,             0.80973,             0.31516,            0.044618,             0.11191,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.037714,             0.12396,                   0,             0.80026,             0.78308,             0.78509,             0.30321,            0.044689,             0.11302,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.037432,             0.12239,                   0,             0.79384,             0.84361,             0.82915,             0.33688,            0.042805,             0.11388,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.037803,               0.127,                   0,             0.86293,             0.86038,             0.87505,             0.39169,            0.040853,             0.10858,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.036511,             0.12768,                   0,             0.84579,             0.85683,             0.85234,             0.37537,            0.040785,             0.11097,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.037256,             0.12555,                   0,             0.84597,             0.86985,             0.86634,             0.39469,            0.039389,             0.10964,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.037564,             0.12365,                   0,             0.84164,             0.87621,              0.8724,             0.39497,            0.039943,              0.1083,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.037383,             0.12807,                   0,             0.83944,              0.8308,             0.84735,             0.35612,            0.041858,             0.11312,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,             0.03761,             0.12917,                   0,             0.84089,             0.86117,             0.86873,             0.38152,            0.039769,              0.1108,                   0,            0.007921,            0.007921,            0.007921
