               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057282,            0.083773,            0.050622,             0.71515,             0.26533,             0.23805,             0.12068,            0.043067,             0.06783,            0.041471,           0.0035004,           0.0035004,             0.07656
                   1,            0.049532,            0.077151,            0.029924,             0.55393,             0.33271,             0.31479,             0.16093,            0.042032,            0.065179,            0.032419,           0.0069464,           0.0069464,            0.044152
                   2,            0.048685,              0.0746,            0.026089,             0.47781,             0.33966,             0.26855,             0.13339,            0.042898,            0.070282,            0.046601,            0.010335,            0.010335,            0.011686
                   3,            0.046671,            0.073505,            0.022954,             0.69858,             0.46409,             0.46707,             0.25265,             0.03811,            0.060426,            0.021787,            0.010377,            0.010377,            0.010377
                   4,            0.044874,            0.070106,            0.020589,             0.68923,             0.49265,             0.50596,             0.28616,            0.036599,             0.05777,              0.0195,            0.010377,            0.010377,            0.010377
                   5,            0.043068,            0.069201,            0.019035,             0.70679,             0.53177,             0.54004,             0.31763,            0.035398,            0.055818,            0.017359,            0.010289,            0.010289,            0.010289
                   6,            0.042307,            0.067887,            0.017724,             0.71461,             0.53159,             0.53607,             0.30954,            0.035325,            0.055794,             0.01731,            0.010201,            0.010201,            0.010201
                   7,            0.041266,            0.067207,            0.017117,             0.71767,             0.53188,             0.55161,             0.32199,             0.03548,            0.055821,            0.017769,            0.010113,            0.010113,            0.010113
                   8,            0.040644,            0.066039,            0.016232,             0.68737,             0.57912,             0.59278,             0.35311,            0.034073,            0.054214,            0.015383,            0.010026,            0.010026,            0.010026
                   9,            0.040464,            0.065295,            0.015452,             0.67016,             0.60067,             0.60404,             0.36184,            0.033886,            0.054054,            0.014843,           0.0099378,           0.0099378,           0.0099378
                  10,            0.039822,            0.065172,             0.01496,             0.78485,             0.57526,             0.63321,             0.37912,            0.033384,            0.052688,            0.013713,             0.00985,             0.00985,             0.00985
                  11,            0.039267,             0.06312,            0.014577,             0.72555,             0.59423,             0.62645,             0.37562,            0.033361,            0.053639,            0.013989,           0.0097622,           0.0097622,           0.0097622
                  12,            0.039467,            0.063636,             0.01413,             0.74365,             0.58664,             0.62986,             0.37748,            0.033262,            0.053636,            0.014152,           0.0096744,           0.0096744,           0.0096744
                  13,            0.038854,             0.06329,            0.013587,             0.76398,             0.59457,              0.6449,             0.38901,            0.032996,            0.052226,            0.013054,           0.0095867,           0.0095867,           0.0095867
                  14,            0.038831,            0.063059,            0.013318,             0.77563,             0.60455,             0.64994,             0.39507,            0.032677,            0.052181,            0.013019,           0.0094989,           0.0094989,           0.0094989
                  15,            0.038624,            0.062689,            0.013263,             0.77493,             0.58524,             0.64862,             0.39418,            0.032728,            0.052297,            0.013076,           0.0094111,           0.0094111,           0.0094111
                  16,            0.038425,            0.061908,            0.013109,             0.77221,              0.6111,             0.65568,             0.39715,            0.032812,            0.052499,             0.01333,           0.0093233,           0.0093233,           0.0093233
                  17,            0.038318,            0.062506,             0.01254,             0.77787,             0.60556,             0.66036,             0.40302,            0.032453,            0.051765,            0.012369,           0.0092355,           0.0092355,           0.0092355
                  18,            0.038135,            0.061581,            0.012568,             0.78326,             0.60633,             0.65799,             0.40301,            0.032428,            0.051969,            0.012462,           0.0091478,           0.0091478,           0.0091478
                  19,            0.037726,            0.061327,            0.012169,              0.8055,             0.62247,             0.68059,             0.42144,            0.032126,            0.051037,            0.012042,             0.00906,             0.00906,             0.00906
                  20,            0.037639,            0.060834,             0.01216,              0.7465,              0.6361,             0.67519,             0.41775,            0.031972,            0.050871,            0.011908,           0.0089722,           0.0089722,           0.0089722
                  21,            0.037441,            0.060307,            0.011827,             0.79742,             0.61052,             0.66485,             0.41089,            0.032119,            0.051528,            0.012141,           0.0088844,           0.0088844,           0.0088844
                  22,            0.037443,            0.059878,            0.011638,             0.73373,             0.64238,             0.67295,             0.41595,             0.03207,            0.051108,            0.012146,           0.0087967,           0.0087967,           0.0087967
                  23,            0.037373,            0.060791,            0.011464,             0.76561,             0.61712,             0.68163,             0.42336,            0.031916,            0.051068,            0.011982,           0.0087089,           0.0087089,           0.0087089
                  24,             0.03737,            0.060115,            0.011397,             0.79611,             0.62781,             0.68225,             0.42363,            0.031823,             0.05091,            0.011629,           0.0086211,           0.0086211,           0.0086211
                  25,            0.037598,             0.06051,            0.011164,             0.70723,             0.66396,             0.68233,             0.42347,            0.031685,            0.050564,            0.011441,           0.0085333,           0.0085333,           0.0085333
                  26,            0.037199,            0.058594,            0.011015,             0.69482,               0.655,             0.69277,             0.43178,            0.031629,            0.050611,            0.011365,           0.0084455,           0.0084455,           0.0084455
                  27,            0.037225,            0.059513,            0.010885,             0.75635,             0.64909,             0.68704,             0.42773,            0.031541,             0.05072,            0.011381,           0.0083578,           0.0083578,           0.0083578
                  28,            0.036981,            0.059862,             0.01104,             0.69594,             0.67785,             0.69252,             0.43323,            0.031424,            0.050515,            0.011306,             0.00827,             0.00827,             0.00827
                  29,            0.036857,             0.05845,            0.010671,             0.70291,             0.66368,             0.69169,             0.43172,            0.031444,            0.050475,             0.01136,           0.0081822,           0.0081822,           0.0081822
                  30,            0.036495,            0.057826,            0.010685,              0.6986,             0.66861,             0.69191,             0.43571,            0.031375,            0.050474,            0.011321,           0.0080944,           0.0080944,           0.0080944
                  31,            0.036963,            0.058903,            0.010536,             0.69703,              0.6746,             0.69118,             0.43394,            0.031363,            0.050583,            0.011342,           0.0080067,           0.0080067,           0.0080067
                  32,            0.036747,             0.05879,            0.010493,             0.69437,             0.66317,             0.69504,             0.43871,            0.031332,            0.050464,             0.01126,           0.0079189,           0.0079189,           0.0079189
                  33,             0.03683,             0.05859,            0.010118,             0.71419,             0.65267,             0.69641,             0.43858,            0.031333,            0.050506,            0.011289,           0.0078311,           0.0078311,           0.0078311
